# Level 1 - CSV Format
# Format: x,y,type
# Types: ground, brick, coin, enemy, player, goal

# Ground layer
0,14,ground
1,14,ground
2,14,ground
3,14,ground
4,14,ground
5,14,ground
6,14,ground
7,14,ground
8,14,ground
9,14,ground
10,14,ground
11,14,ground
12,14,ground
13,14,ground
14,14,ground
15,14,ground
16,14,ground
17,14,ground
18,14,ground
19,14,ground
20,14,ground
21,14,ground
22,14,ground
23,14,ground
24,14,ground
25,14,ground
26,14,ground
27,14,ground
28,14,ground
29,14,ground
30,14,ground
31,14,ground
32,14,ground
33,14,ground
34,14,ground
35,14,ground
36,14,ground
37,14,ground
38,14,ground
39,14,ground
40,14,ground
41,14,ground
42,14,ground
43,14,ground
44,14,ground
45,14,ground
46,14,ground
47,14,ground
48,14,ground
49,14,ground

# Some platforms
10,10,brick
11,10,brick
12,10,brick

15,8,brick
16,8,brick
17,8,brick
18,8,brick

25,6,brick
26,6,brick
27,6,brick
28,6,brick
29,6,brick

# Coins
11,9,coin
17,7,coin
27,5,coin

# Enemies
15,13,enemy
25,13,enemy
35,13,enemy

# Player start
2,13,player

# Goal
47,13,goal
